gene_name,Ctrl-1 TPM,Ctrl-2 TPM,Ctrl-3 TPM,SAE-1 TPM,SAE-2 TPM,SAE-3 TPM,Ctrl-1 Normalised Read Counts,Ctrl-2 Normalised Read Counts,Ctrl-3 Normalised Read Counts,SAE-1 Normalised Read Counts,SAE-2 Normalised Read Counts,SAE-3 Normalised Read Counts,Real Fold Change,Regulation Type,"FDR
"
WDPCP,6.65,6.26,5.58,4.24,5.6,5.6,213.8044897,222.7435665,187.8029759,139.1142912,151.0613954,152.4700007,1.410470577,Down,0.999993006
VPS54,14.77,14.61,15.41,15.48,15.78,15.63,806.5799708,821.7178631,857.9630686,904.7035364,908.451978,896.3057896,1.08977244,Up,1
ASXL2,14.47,13.19,13.81,13.99,14.05,13.89,1947.54611,1835.294681,1854.307277,2024.066873,2040.891542,2020.227509,1.079479103,Up,0.999999998
ETAA1,9.49,10.96,9.29,9.16,8.99,10.01,452.941265,422.0896996,439.8543382,400.7597132,404.2194581,414.9362161,1.077847678,Down,1
SNRPG,73.54,74.45,86.01,95.55,108.8,94.35,435.107336,405.9829064,462.5389608,594.1838552,603.4225575,546.7138595,1.33804162,Up,8.48899E-12
ABHD1,0.85,0.09,0.21,0,0.37,0,7.093039944,1.871794677,2.965310145,0,3.125408181,0,3.790363743,Down,0.193131126
MEIS1,12.27,11.32,16.48,11.49,9.95,11.1,400.2501111,392.1409848,449.7387053,292.0478829,311.4990154,286.4257869,1.395680959,Down,1.12865E-10
CIAO1,54.82,52.4,52.94,49.49,47.58,50.52,1688.143507,1614.422909,1615.105592,1688.718515,1623.128649,1704.396793,1.020044311,Up,1
ZNF514,6.97,8.07,7.07,5.55,6.07,5.5,286.761472,352.8332966,337.0569198,234.006821,285.4539472,260.2880725,1.252511145,Down,0.04837261
SNRNP200,52.83,53.88,55.3,45.48,44.61,46.19,4832.386785,4988.332814,4830.490226,4253.58068,4356.819005,4423.808162,1.124058038,Down,0
MRPS5,29.07,29.62,30.92,32.23,34.38,32.89,588.7223153,623.3076274,629.6341875,678.9882956,771.9758208,730.7669317,1.184648967,Up,0.00082056
ANKRD53,0.84,0.87,0.57,0.76,0.63,0.5,16.21266273,18.71794677,12.8496773,19.34702064,16.66884363,11.97978577,1.004504538,Up,1
TPRKB,22.65,23.01,25.34,29.47,28.72,31.04,181.3791643,182.499981,197.687343,256.1177017,258.3670763,274.4460012,1.404853477,Up,0.999847293
EXOC6B,25.89,24.36,23.24,16.05,14.77,13.82,1801.632146,1760.422893,1781.16296,1261.241488,1276.208341,1208.869291,1.426254689,Down,0
SFXN5,5.02,3.96,5.21,6.94,4.57,5.73,213.8044897,198.4102357,228.3288812,208.2107935,186.4826881,201.4782152,1.074424327,Down,1
TEX261,61.52,59.15,61.03,56.65,57.37,52.78,2593.012745,2553.127939,2511.548502,2551.954938,2457.529289,2493.973582,1.020554625,Down,1
DQX1,0,0.08,0.18,0,0,0.11,0,1.871794677,1.97687343,0,0,1.089071433,3.465970082,Down,1
DUSP11,33.51,37.19,34.7,39.92,42.1,41.37,727.54324,804.871711,720.5703653,883.5139423,914.7027944,827.6942893,1.165522936,Up,0.004306814
ST6GAL2,3.91,2.42,2.33,1,1,0.95,269.5355179,244.2692053,229.3173179,104.1053968,106.2638782,99.10550043,2.401100404,Down,0
NPHP1,13.62,8.68,9.78,7.33,8.23,7.67,272.5753921,207.7692091,188.7914126,144.6420114,165.6466336,164.4497864,1.409457684,Down,0.116382101
MALL,1.66,1.14,1.01,0.59,0.46,0.63,53.70444529,48.61986673,42.3347445,26.37643813,20.73187427,11.01051219,2.488254192,Down,0.999834649
THNSL2,0.15,0,0.12,0,0,0,2.026582841,0,2.965310145,0,0,0,167.3964329,Down,1
RALB,69.62,67.96,70.17,74.11,70.35,71.74,1952.612567,1949.474156,1922.509411,2268.207848,2249.252088,2238.041795,1.159822378,Up,0.003039133
TMEM177,2.71,3.29,3.57,3.15,2.76,2.87,47.62469677,53.34614829,59.3062029,54.35591512,52.09013635,53.36450023,1.00291851,Down,1
NT5DC4,0.18,0.04,0.03,0,0.04,0.03,2.026582841,0.935897338,0.988436715,0,1.041802727,1.089071433,1.842271506,Down,1
RABL2A,5.03,5.21,5.98,4.28,4.21,3.57,85.86631498,97.35204114,97.85523479,85.12689079,74.54098512,66.792751,1.241126817,Down,1
SLC20A1,191.09,179.66,186.9,256.69,262.17,246.63,7998.922474,7376.742821,7546.714319,11519.76886,11882.8019,11521.28669,1.523569644,Up,0
